Current Attendence Sheet Data of GEO32613  |  All Type


-,2019-01-31-09:00:00-Lect-2H-ng,2019-08-01-08:00:00-Lect-1H-ng,2019-08-06-14:00:00-Lect-2H-ng,2019-08-08-08:00:00-Lect-1H-ng,2019-08-13-13:00:00-Lect-2H-ng,2019-08-13-16:00:00-Lect-1H-ng,2019-12-10-09:00:00-Lect-2H-ng,2019-12-12-09:00:00-Lect-2H-ng,2019-12-12-14:00:00-Lect-1H-ng,2019-12-19-09:00:00-Lect-1H-ng,2020-01-07-09:00:00-Lect-1H-ng,2020-01-09-09:00:00-Lect-1H-ng,2020-01-14-09:00:00-Lect-1H-ng,2020-01-14-09:00:00-Lect-1H-ng,2020-01-16-09:00:00-Lect-1H-ng,2020-01-21-09:00:00-Lect-1H-ng,2020-01-21-09:00:00-Lect-1H-ng,2020-01-23-09:00:00-Lect-1H-ng,2020-01-24-09:00:00-Lect-2H-ng,2020-01-28-09:00:00-Lect-1H-ng,2020-02-06-09:00:00-Lect-1H-ng,2020-02-10-09:00:00-Lect-1H-ng,2020-02-13-09:00:00-Lect-1H-ng,2020-02-18-09:00:00-Lect-2H-ng,%
HS/2016/15706,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,97 %,
HS/2016/15710,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15713,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,97 %,
HS/2016/15726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15740,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15741,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/15750,1,1,M,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15753,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15765,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,87 %,
HS/2016/15778,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15790,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/15794,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M,1,1,100 %,
HS/2016/15805,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,87 %,
HS/2016/15816,1,M,M,1,1,1,M,M,1,1,1,1,1,1,1,1,1,1,M,1,1,1,1,1,100 %,
HS/2016/15818,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2016/15820,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,84 %,
HS/2016/15827,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,90 %,
HS/2016/15830,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15837,1,M,1,1,M,1,M,1,M,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,87 %,
HS/2016/15850,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15866,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15872,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15873,1,M,1,1,0,1,1,1,M,1,1,1,0,1,1,0,1,1,1,1,1,M,M,1,87 %,
HS/2016/15874,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15878,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15894,1,0,1,1,M,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15896,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15914,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,90 %,
HS/2016/15920,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,97 %,
HS/2016/15927,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/15929,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M,1,1,97 %,
HS/2016/15932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,97 %,
HS/2016/15946,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,97 %,
HS/2016/15947,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,97 %,
HS/2016/15950,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15951,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15956,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15957,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15973,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
