Current Attendence Sheet Data of GEO32613  |  All Type


-,2019-01-31-09:00:00-Lect-2H-ng,2019-08-01-08:00:00-Lect-1H-ng,2019-08-06-14:00:00-Lect-2H-ng,2019-08-08-08:00:00-Lect-1H-ng,2019-08-13-13:00:00-Lect-2H-ng,2019-08-13-16:00:00-Lect-1H-ng,2019-12-10-09:00:00-Lect-2H-ng,2019-12-12-09:00:00-Lect-2H-ng,2019-12-12-14:00:00-Lect-1H-ng,2019-12-19-09:00:00-Lect-1H-ng,2020-01-07-09:00:00-Lect-1H-ng,2020-01-09-09:00:00-Lect-1H-ng,2020-01-14-09:00:00-Lect-1H-ng,2020-01-14-09:00:00-Lect-1H-ng,2020-01-16-09:00:00-Lect-1H-ng,2020-01-21-09:00:00-Lect-1H-ng,2020-01-21-09:00:00-Lect-1H-ng,2020-01-23-09:00:00-Lect-1H-ng,2020-01-24-09:00:00-Lect-2H-ng,2020-01-28-09:00:00-Lect-1H-ng,2020-02-06-09:00:00-Lect-1H-ng,2020-02-10-09:00:00-Lect-1H-ng,2020-02-13-09:00:00-Lect-1H-ng,2020-02-18-09:00:00-Lect-2H-ng,%
HS/2016/15979,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,97 %,
HS/2016/15985,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15989,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/16001,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/16003,1,1,1,1,0,M,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/16005,1,1,1,M,M,M,M,M,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,90 %,
HS/2016/16006,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16023,1,M,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16048,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/16059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16061,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/16064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16086,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,87 %,
HS/2016/16096,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84 %,
HS/2016/16098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,97 %,
HS/2016/16121,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/16140,1,M,M,1,1,1,M,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
Total,58,46,57,53,55,51,33,57,51,53,56,57,55,55,58,56,58,58,58,57,56,54,45,56,
