Current Attendence Sheet Data of SLS22613  |  All Type


-,2019-08-05-09:00:00-Lect-2H-ng,2019-08-06-15:00:00-Lect-1H-ng,2019-08-19-09:00:00-Lect-2H-ng,2019-12-09-10:00:00-Lect-1H-ng,2019-12-10-15:00:00-Lect-1H-ng,2019-12-12-12:00:00-Lect-1H-ng,2019-12-13-08:00:00-Lect-2H-ng,2019-12-13-10:00:00-Lect-2H-ng,2019-12-13-13:00:00-Lect-3H-ng,2019-12-16-10:00:00-Lect-1H-ng,2019-12-17-15:00:00-Lect-1H-ng,2019-12-18-13:00:00-Lect-1H-ng,2019-12-23-09:00:00-Lect-2H-ng,2019-12-24-15:00:00-Lect-1H-ng,2019-12-31-15:00:00-Lect-1H-ng,2020-01-01-15:00:00-Lect-1H-ng,2020-01-06-09:00:00-Lect-2H-ng,2020-01-07-15:00:00-Lect-1H-ng,2020-01-13-09:00:00-Lect-2H-ng,2020-01-20-09:00:00-Lect-2H-ng,2020-01-27-09:00:00-Lect-2H-ng,2020-01-29-09:00:00-Lect-2H-ng,2020-01-30-08:00:00-Lect-1H-ng,2020-02-03-09:00:00-Lect-2H-ng,2020-02-07-08:00:00-Lect-2H-ng,2020-02-07-10:00:00-Lect-2H-ng,2020-02-07-13:00:00-Lect-2H-ng,2020-02-10-09:00:00-Lect-1H-ng,2020-02-10-10:00:00-Lect-1H-ng,2020-02-17-09:00:00-Lect-2H-ng,%
HS/2017/16149,M,1,1,M,M,M,1,1,1,1,1,M,0,1,M,M,1,1,M,1,1,1,M,1,1,1,1,0,0,1,91 %,
HS/2017/16158,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2017/16166,0,1,1,E,E,E,1,1,E,E,1,1,E,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16168,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16169,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2017/16186,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2017/16196,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,89 %,
HS/2017/16199,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,81 %,
HS/2017/16200,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16201,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2017/16203,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,85 %,
HS/2017/16205,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,94 %,
HS/2017/16207,1,1,E,1,1,E,1,1,1,1,1,E,1,E,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16210,0,E,1,0,0,0,1,1,1,1,1,1,E,E,E,E,1,1,E,E,0,1,E,1,1,1,1,1,1,1,85 %,
HS/2017/16216,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16246,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,85 %,
HS/2017/16258,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,83 %,
HS/2017/16264,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16265,1,1,1,1,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16274,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16278,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16303,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16310,1,1,1,1,E,E,1,1,1,1,1,1,E,E,1,E,1,1,1,1,0,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16316,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16320,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2017/16326,1,E,1,E,E,E,E,0,0,1,1,E,1,1,1,1,E,1,1,1,1,1,0,1,E,E,1,0,0,1,83 %,
HS/2017/16328,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16336,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,91 %,
HS/2017/16348,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16352,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16356,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16372,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2017/16374,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2017/16386,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16421,1,1,1,E,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,E,E,E,1,1,1,96 %,
HS/2017/16429,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16434,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16439,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,83 %,
HS/2017/16444,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16462,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,94 %,
HS/2017/16466,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16468,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,94 %,
HS/2017/16470,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16472,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16485,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,94 %,
HS/2017/16488,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16490,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,81 %,
HS/2017/16492,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2017/16516,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,85 %,
HS/2017/16526,1,E,1,E,E,E,E,E,E,1,1,1,1,E,E,1,1,1,E,1,1,1,1,1,1,1,1,0,E,1,98 %,
HS/2017/16531,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16575,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
Total,49,46,45,44,43,9,51,51,48,51,52,52,50,42,49,49,52,47,52,49,46,52,46,44,50,51,52,46,49,50,
