Current Attendence Sheet Data of GEO22513  |  All Type


-,2019-08-02-08:00:00-Lect-1H-ng,2019-08-05-10:00:00-Lect-2H-ng,2019-08-09-08:00:00-Lect-1H-ng,2019-08-16-08:00:00-Lect-1H-ng,2019-08-19-09:00:00-Lect-1H-ng,2019-12-09-09:00:00-Lect-1H-ng,2019-12-13-09:00:00-Lect-1H-ng,2019-12-16-12:00:00-Lect-2H-ng,2019-12-20-09:00:00-Lect-1H-ng,2019-12-23-09:00:00-Lect-2H-ng,2019-12-27-09:00:00-Lect-1H-ng,2019-12-30-12:00:00-Lect-2H-ng,2020-01-06-09:00:00-Lect-2H-ng,2020-01-13-09:00:00-Lect-2H-ng,2020-01-17-09:00:00-Lect-1H-ng,2020-01-20-09:00:00-Lect-2H-ng,2020-01-24-09:00:00-Lect-1H-ng,2020-01-27-09:00:00-Lect-2H-ng,2020-02-03-12:00:00-Lect-2H-ng,2020-02-07-09:00:00-Lect-1H-ng,2020-02-10-09:00:00-Lect-1H-ng,2020-02-14-09:00:00-Lect-1H-ng,2020-02-17-09:00:00-Lect-2H-ng,2020-02-18-13:00:00-Lect-1H-ng,%
HS/2017/16330,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,56 %,
HS/2017/16337,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16340,M,M,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16345,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16346,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,68 %,
HS/2017/16347,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16354,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16360,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,82 %,
HS/2017/16368,M,M,1,M,1,M,1,M,M,1,M,1,1,1,1,1,1,1,1,1,1,1,1,0,97 %,
HS/2017/16371,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16377,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16378,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16381,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16390,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16394,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,62 %,
HS/2017/16395,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,94 %,
HS/2017/16400,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,94 %,
HS/2017/16402,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16403,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,21 %,
HS/2017/16409,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,91 %,
HS/2017/16410,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,94 %,
HS/2017/16411,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,91 %,
HS/2017/16412,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16413,1,1,0,0,M,M,1,1,1,1,M,1,1,1,1,1,1,1,1,M,1,M,0,0,85 %,
HS/2017/16416,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,79 %,
HS/2017/16427,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,M,M,0,1,1,0,56 %,
HS/2017/16432,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16438,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2017/16447,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,79 %,
HS/2017/16450,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2017/16456,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,94 %,
HS/2017/16481,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,E,1,1,1,1,1,85 %,
