Current Attendence Sheet Data of SLS32633  |  All Type


-,2019-08-01-10:00:00-Lect-1H-ng,2019-08-05-09:00:00-Lect-1H-ng,2019-08-05-10:00:00-Lect-1H-ng,2019-08-08-10:00:00-Lect-2H-ng,2019-08-19-10:00:00-Lect-1H-ng,2019-08-20-12:00:00-Lect-1H-ng,2019-08-22-10:00:00-Lect-1H-ng,2019-11-18-10:00:00-Lect-1H-ng,2019-11-21-13:00:00-Lect-1H-ng,2019-12-16-10:00:00-Lect-1H-ng,2019-12-19-09:00:00-Lect-2H-ng,2019-12-23-13:00:00-Lect-1H-ng,2019-12-26-13:00:00-Lect-2H-ng,2019-12-30-13:00:00-Lect-1H-ng,2020-01-02-09:00:00-Lect-2H-ng,2020-01-06-10:00:00-Lect-1H-ng,2020-01-16-09:00:00-Lect-2H-ng,2020-01-20-10:00:00-Lect-1H-ng,2020-01-23-08:00:00-Lect-1H-ng,2020-01-23-09:00:00-Lect-2H-ng,2020-01-27-10:00:00-Lect-1H-ng,2020-01-30-09:00:00-Lect-1H-ng,2020-01-30-10:00:00-Lect-1H-ng,2020-02-03-10:00:00-Lect-1H-ng,2020-02-06-09:00:00-Lect-1H-ng,2020-02-06-10:00:00-Lect-1H-ng,2020-02-13-09:00:00-Lect-2H-ng,2020-02-17-10:00:00-Lect-1H-ng,2020-02-17-12:00:00-Lect-1H-ng,%
HS/2016/15723,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15736,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,78 %,
HS/2016/15744,1,E,E,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15764,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,86 %,
HS/2016/15770,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15776,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,86 %,
HS/2016/15782,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,E,0,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2016/15791,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,83 %,
HS/2016/15809,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15835,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2016/15840,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2016/15843,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,89 %,
HS/2016/15845,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2016/15867,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15870,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,83 %,
HS/2016/15883,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15963,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15994,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2016/16017,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2016/16071,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/16085,E,E,E,1,1,1,0,1,1,1,1,1,1,1,1,1,1,E,0,0,0,1,1,0,1,1,1,1,1,83 %,
HS/2016/16104,E,E,E,E,1,E,E,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,89 %,
Total,19,19,6,16,21,19,9,22,22,22,20,22,22,22,22,22,21,21,0,19,21,20,20,15,22,21,21,21,21,
