Current Attendence Sheet Data of POS11513  |  All Type


-,2019-02-26-14:00:00-Lect-2H-ng,2019-03-05-14:00:00-Lect-2H-ng,2019-03-13-13:00:00-Lect-1H-ng,2019-03-18-09:00:00-Lect-2H-ng,2019-03-19-14:00:00-Lect-2H-ng,2019-03-25-15:00:00-Lect-1H-ng,2019-04-01-09:00:00-Lect-1H-ng,2019-04-08-14:00:00-Lect-1H-ng,2019-04-09-14:00:00-Lect-2H-ng,2019-05-21-14:00:00-Lect-2H-ng,2019-05-27-14:00:00-Lect-1H-ng,2019-05-28-14:00:00-Lect-1H-ng,2019-06-04-14:00:00-Lect-2H-ng,2019-06-10-15:00:00-Lect-1H-ng,2019-06-11-14:00:00-Lect-2H-ng,2019-06-17-14:00:00-Lect-2H-ng,2019-06-18-14:00:00-Lect-2H-ng,2019-06-24-09:00:00-Lect-1H-ng,2019-06-25-14:00:00-Lect-2H-ng,2019-07-01-15:00:00-Lect-1H-ng,2019-07-02-14:00:00-Lect-2H-ng,%
HS/2018/16806,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,73 %,
HS/2018/16810,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,58 %,
HS/2018/16811,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,52 %,
HS/2018/16814,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,39 %,
HS/2018/16816,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,55 %,
HS/2018/16819,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,55 %,
HS/2018/16820,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,24 %,
HS/2018/16821,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,36 %,
HS/2018/16824,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,39 %,
HS/2018/16832,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,24 %,
HS/2018/16833,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,52 %,
HS/2018/16836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2018/16840,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,36 %,
HS/2018/16842,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,24 %,
HS/2018/16845,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,52 %,
HS/2018/16851,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,48 %,
HS/2018/16854,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,58 %,
HS/2018/16858,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,45 %,
HS/2018/16860,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,55 %,
HS/2018/16862,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,42 %,
HS/2018/16864,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,55 %,
HS/2018/16866,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,42 %,
HS/2018/16870,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,48 %,
HS/2018/16877,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,36 %,
HS/2018/16885,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,48 %,
