Current Attendence Sheet Data of GEO12513  |  All Type


-,2019-08-02-08:00:00-Lect-1H-ng,2019-08-06-14:00:00-Lect-2H-ng,2019-08-13-14:00:00-Lect-2H-ng,2019-08-16-09:00:00-Lect-1H-ng,2019-08-20-14:00:00-Lect-1H-ng,2019-08-23-08:00:00-Lect-1H-ng,2019-12-10-14:00:00-Lect-2H-ng,2019-12-13-09:00:00-Lect-1H-ng,2019-12-17-16:00:00-Lect-2H-ng,2019-12-20-09:00:00-Lect-1H-ng,2019-12-24-16:00:00-Lect-2H-ng,2019-12-27-09:00:00-Lect-1H-ng,2019-12-31-09:00:00-Lect-2H-ng,2020-01-03-09:00:00-Lect-1H-ng,2020-01-07-14:00:00-Lect-2H-ng,2020-01-14-14:00:00-Lect-2H-ng,2020-01-17-09:00:00-Lect-1H-ng,2020-01-21-14:00:00-Lect-2H-ng,2020-01-24-09:00:00-Lect-1H-ng,2020-01-28-09:00:00-Lect-2H-ng,2020-01-31-09:00:00-Lect-1H-ng,2020-02-11-09:00:00-Lect-2H-ng,2020-02-14-09:00:00-Lect-1H-ng,2020-02-18-09:00:00-Lect-2H-ng,%
HS/2017/16154,M,M,M,1,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M,1,100 %,
HS/2017/16446,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16621,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,89 %,
HS/2018/16622,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2018/16623,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16626,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16627,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2018/16629,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2018/16630,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16632,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2018/16633,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2018/16634,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2018/16635,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,92 %,
HS/2018/16637,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,89 %,
HS/2018/16638,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16642,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2018/16643,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2018/16645,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16649,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2018/16651,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
