Current Attendence Sheet Data of GEO11513  |  All Type


-,2019-02-26-08:00:00-Lect-2H-ng,2019-02-28-13:00:00-Lect-1H-ng,2019-03-05-08:00:00-Lect-2H-ng,2019-03-07-13:00:00-Lect-1H-ng,2019-03-12-08:00:00-Lect-2H-ng,2019-03-14-13:00:00-Lect-1H-ng,2019-03-19-08:00:00-Lect-2H-ng,2019-03-21-13:00:00-Lect-1H-ng,2019-03-26-08:00:00-Lect-2H-ng,2019-03-28-13:00:00-Lect-1H-ng,2019-04-02-08:00:00-Lect-2H-ng,2019-04-04-13:00:00-Lect-1H-ng,2019-04-09-08:00:00-Lect-2H-ng,2019-04-11-13:00:00-Lect-1H-ng,2019-05-16-13:00:00-Lect-1H-ng,2019-05-21-08:00:00-Lect-2H-ng,2019-05-23-13:00:00-Lect-1H-ng,2019-05-28-08:00:00-Lect-2H-ng,2019-05-30-13:00:00-Assi-1H-ng,2019-06-04-08:00:00-Lect-2H-ng,2019-06-06-13:00:00-Lect-1H-ng,2019-06-11-08:00:00-Lect-2H-ng,2019-06-13-13:00:00-Lect-1H-ng,2019-06-18-08:00:00-Lect-2H-ng,2019-06-20-13:00:00-Lect-1H-ng,2019-06-25-08:00:00-Lect-2H-ng,2019-06-27-13:00:00-Lect-1H-ng,%
HS/2018/16684,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,50 %,
HS/2018/16687,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,63 %,
HS/2018/16689,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,60 %,
HS/2018/16692,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,48 %,
HS/2018/16693,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,60 %,
HS/2018/16694,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,58 %,
HS/2018/16697,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,38 %,
HS/2018/16699,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,40 %,
HS/2018/16705,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,63 %,
HS/2018/16712,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,68 %,
HS/2018/16715,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,70 %,
HS/2018/16718,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,55 %,
HS/2018/16720,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,55 %,
HS/2018/16722,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,53 %,
HS/2018/16724,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,53 %,
