Current Attendence Sheet Data of ECN11513  |  All Type


-,2019-03-11-13:00:00-Lect-2H-ng,2019-03-15-16:00:00-Lect-1H-ng,2019-03-18-13:00:00-Lect-2H-ng,2019-03-25-13:00:00-Lect-2H-ng,2019-04-01-13:00:00-Lect-2H-ng,2019-04-08-13:00:00-Lect-2H-ng,2019-05-27-13:00:00-Lect-2H-ng,2019-06-03-13:00:00-Assi-1H-ng,2019-06-03-14:00:00-Lect-1H-ng,2019-06-07-16:00:00-Assi-1H-ng,2019-06-10-13:00:00-Lect-2H-ng,2019-06-17-13:00:00-Lect-2H-ng,2019-06-20-09:00:00-Lect-2H-ng,2019-06-24-13:00:00-Lect-2H-ng,2019-06-26-09:00:00-Lect-2H-ng,%
HS/2018/17000,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,42 %,
HS/2018/17008,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,58 %,
HS/2018/17009,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,77 %,
HS/2018/17018,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,35 %,
HS/2018/17022,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,77 %,
HS/2018/17023,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,54 %,
HS/2018/17030,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,58 %,
HS/2018/17034,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,69 %,
HS/2018/17045,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,69 %,
HS/2018/17047,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,54 %,
HS/2018/17049,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,50 %,
HS/2018/17055,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,50 %,
HS/2018/17067,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,62 %,
HS/2018/17072,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,62 %,
HS/2018/17087,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,65 %,
HS/2018/17118,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,42 %,
Total,25,48,37,50,52,38,69,79,77,78,44,58,0,57,0,
