Current Attendence Sheet Data of SLS32523  |  All Type


-,2019-08-05-08:00:00-Lect-2H-ng,2019-08-06-09:00:00-Lect-1H-ng,2019-08-19-08:00:00-Lect-2H-ng,2019-12-09-08:00:00-Lect-2H-ng,2019-12-10-11:00:00-Lect-1H-ng,2019-12-16-08:00:00-Lect-2H-ng,2019-12-17-11:00:00-Lect-1H-ng,2019-12-23-08:00:00-Lect-2H-ng,2019-12-24-11:00:00-Lect-1H-ng,2019-12-30-08:00:00-Lect-2H-ng,2019-12-31-11:00:00-Lect-1H-ng,2020-01-06-08:00:00-Lect-2H-ng,2020-01-07-11:00:00-Lect-1H-ng,2020-01-13-08:00:00-Lect-2H-ng,2020-01-14-11:00:00-Lect-1H-ng,2020-01-20-08:00:00-Lect-1H-ng,2020-01-20-09:00:00-Lect-1H-ng,2020-01-21-11:00:00-Lect-1H-ng,2020-01-27-08:00:00-Lect-2H-ng,2020-01-28-11:00:00-Lect-1H-ng,2020-02-03-08:00:00-Lect-2H-ng,2020-02-10-08:00:00-Lect-2H-ng,2020-02-11-11:00:00-Lect-1H-ng,2020-02-17-08:00:00-Lect-2H-ng,2020-02-18-11:00:00-Lect-1H-ng,%
HS/2016/15977,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15986,1,1,0,E,E,E,E,E,E,E,1,E,E,E,E,E,E,E,E,E,E,0,0,0,0,78 %,
HS/2016/15987,0,1,0,M,M,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15990,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,92 %,
HS/2016/16008,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/16016,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/16029,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/16031,M,1,M,M,M,M,M,0,M,M,1,M,1,1,1,M,M,1,1,0,M,M,M,M,M,92 %,
HS/2016/16035,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,32 %,
HS/2016/16041,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,81 %,
HS/2016/16043,1,1,1,M,M,M,M,M,M,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,81 %,
HS/2016/16047,1,M,M,M,M,1,M,1,M,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,81 %,
HS/2016/16049,M,M,M,M,M,1,M,M,1,1,1,1,1,1,1,1,1,1,1,M,M,0,0,1,0,89 %,
HS/2016/16068,E,E,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2016/16070,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,92 %,
HS/2016/16072,1,M,1,M,1,M,1,1,M,1,1,M,1,1,1,1,1,M,M,1,M,1,1,1,1,100 %,
HS/2016/16084,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/16088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16094,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/16097,M,M,M,M,M,M,M,M,M,M,M,M,1,1,1,1,1,M,1,1,M,1,M,M,M,100 %,
HS/2016/16100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/16109,E,E,1,E,E,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/16116,M,M,M,M,M,1,1,M,M,M,1,1,1,1,1,M,M,1,1,M,M,M,M,1,0,97 %,
HS/2016/16126,M,1,M,M,1,M,M,M,M,0,1,M,M,M,0,M,0,1,0,M,M,M,M,M,0,81 %,
HS/2016/16128,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,81 %,
HS/2016/16133,1,1,M,M,0,0,0,M,M,0,1,M,M,M,0,M,M,1,M,M,M,M,M,M,M,81 %,
HS/2016/16134,M,M,M,0,M,M,1,M,M,0,M,0,1,1,1,M,M,1,1,M,M,M,1,M,M,84 %,
HS/2016/16136,1,1,M,M,M,M,M,M,M,M,M,M,1,1,1,M,M,1,1,M,1,0,0,1,0,89 %,
HS/2016/16139,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,89 %,
Total,58,60,65,51,57,61,62,68,69,62,65,68,69,69,66,68,66,68,69,66,64,64,65,69,63,
