Current Attendence Sheet Data of SLS12513  |  All Type


-,2019-08-01-10:00:00-Lect-2H-ng,2019-08-05-11:00:00-Lect-1H-ng,2019-08-08-10:00:00-Lect-2H-ng,2019-08-15-10:00:00-Lect-2H-ng,2019-08-19-11:00:00-Lect-1H-ng,2019-08-22-10:00:00-Lect-2H-ng,2019-12-09-11:00:00-Lect-1H-ng,2019-12-12-10:00:00-Lect-2H-ng,2019-12-19-10:00:00-Lect-2H-ng,2019-12-23-11:00:00-Lect-1H-ng,2019-12-30-11:00:00-Lect-1H-ng,2020-01-02-10:00:00-Lect-2H-ng,2020-01-06-10:00:00-Lect-2H-ng,2020-01-06-11:00:00-Lect-1H-ng,2020-01-09-10:00:00-Lect-2H-ng,2020-01-13-11:00:00-Lect-1H-ng,2020-01-16-10:00:00-Lect-2H-ng,2020-01-20-11:00:00-Lect-1H-ng,2020-01-27-11:00:00-Lect-1H-ng,2020-01-30-10:00:00-Lect-2H-ng,2020-02-03-11:00:00-Lect-1H-ng,2020-02-10-11:00:00-Lect-1H-ng,2020-02-13-10:00:00-Lect-2H-ng,2020-02-17-11:00:00-Lect-1H-ng,%
HS/2018/16708,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,94 %,
HS/2018/16713,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2018/16714,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16715,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16717,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,86 %,
HS/2018/16720,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,86 %,
HS/2018/16724,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,94 %,
HS/2018/16726,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16729,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,89 %,
HS/2018/16731,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2018/16734,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2018/16736,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16737,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16740,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,89 %,
HS/2018/16741,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2018/16742,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,86 %,
HS/2018/16744,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,86 %,
HS/2018/16747,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2018/16750,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,89 %,
HS/2018/16751,1,1,1,1,1,1,1,M,1,M,0,1,0,1,0,1,1,1,1,1,1,1,1,0,83 %,
HS/2018/16756,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2018/16757,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
