Current Attendence Sheet Data of GEO32513  |  All Type


-,2019-08-01-08:00:00-Lect-1H-ng,2019-08-06-14:00:00-Lect-2H-ng,2019-08-08-08:00:00-Lect-1H-ng,2019-08-13-13:00:00-Lect-2H-ng,2019-08-15-08:00:00-Lect-1H-ng,2019-08-20-13:00:00-Lect-2H-ng,2019-08-22-08:00:00-Lect-1H-ng,2019-12-10-15:00:00-Lect-2H-ng,2019-12-12-09:00:00-Lect-2H-ng,2019-12-17-15:00:00-Lect-2H-ng,2019-12-19-09:00:00-Lect-1H-ng,2019-12-24-15:00:00-Lect-2H-ng,2019-12-31-13:00:00-Lect-2H-ng,2020-01-01-13:00:00-Lect-2H-ng,2020-01-02-09:00:00-Lect-1H-ng,2020-01-07-09:00:00-Lect-2H-ng,2020-01-09-09:00:00-Lect-1H-ng,2020-01-14-09:00:00-Lect-2H-ng,2020-01-16-09:00:00-Lect-1H-ng,2020-01-21-09:00:00-Lect-2H-ng,2020-01-23-09:00:00-Lect-1H-ng,2020-01-28-09:00:00-Lect-2H-ng,2020-02-13-09:00:00-Lect-1H-ng,2020-02-18-15:00:00-Lect-2H-ng,%
HS/2016/15825,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,92 %,
HS/2016/15828,1,1,M,M,M,1,0,M,1,M,1,1,1,1,0,1,1,1,1,0,1,1,0,1,87 %,
HS/2016/15839,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/15841,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,89 %,
HS/2016/15842,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,87 %,
HS/2016/15847,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15848,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/15855,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15860,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15881,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15885,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,87 %,
HS/2016/15889,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,95 %,
HS/2016/15906,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,95 %,
HS/2016/15915,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,92 %,
HS/2016/15921,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/15934,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,92 %,
HS/2016/15945,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/15946,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 %,
HS/2016/15953,0,1,1,1,1,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,1,0,1,1,92 %,
HS/2016/15978,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/15982,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,82 %,
HS/2016/15986,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,95 %,
HS/2016/15991,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/15995,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,84 %,
HS/2016/15996,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,95 %,
HS/2016/16016,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/16028,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/16042,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,87 %,
HS/2016/16045,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,89 %,
HS/2016/16050,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/16068,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2016/16075,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,84 %,
HS/2016/16084,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/16094,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/16097,M,M,1,M,M,1,M,M,M,M,1,1,1,1,1,1,1,1,1,1,0,0,M,0,87 %,
HS/2016/16103,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,89 %,
HS/2016/16106,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/16107,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,92 %,
HS/2016/16112,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2016/16113,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/16119,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,82 %,
HS/2016/16139,0,1,1,1,1,1,1,M,M,1,1,1,1,1,M,M,1,M,1,1,1,1,1,1,97 %,
Total,27,53,54,54,48,58,45,48,49,60,60,59,61,61,53,60,57,60,53,59,57,51,52,55,
