Current Attendence Sheet Data of GEO32513  |  All Type


-,2019-08-01-08:00:00-Lect-1H-ng,2019-08-06-14:00:00-Lect-2H-ng,2019-08-08-08:00:00-Lect-1H-ng,2019-08-13-13:00:00-Lect-2H-ng,2019-08-15-08:00:00-Lect-1H-ng,2019-08-20-13:00:00-Lect-2H-ng,2019-08-22-08:00:00-Lect-1H-ng,2019-12-10-15:00:00-Lect-2H-ng,2019-12-12-09:00:00-Lect-2H-ng,2019-12-17-15:00:00-Lect-2H-ng,2019-12-19-09:00:00-Lect-1H-ng,2019-12-24-15:00:00-Lect-2H-ng,2019-12-31-13:00:00-Lect-2H-ng,2020-01-01-13:00:00-Lect-2H-ng,2020-01-02-09:00:00-Lect-1H-ng,2020-01-07-09:00:00-Lect-2H-ng,2020-01-09-09:00:00-Lect-1H-ng,2020-01-14-09:00:00-Lect-2H-ng,2020-01-16-09:00:00-Lect-1H-ng,2020-01-21-09:00:00-Lect-2H-ng,2020-01-23-09:00:00-Lect-1H-ng,2020-01-28-09:00:00-Lect-2H-ng,2020-02-13-09:00:00-Lect-1H-ng,2020-02-18-15:00:00-Lect-2H-ng,%
HS/2015/15513,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,45 %,
HS/2016/15704,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,84 %,
HS/2016/15709,0,1,1,1,M,M,0,M,M,1,1,1,1,1,0,1,1,1,M,1,1,0,1,1,87 %,
HS/2016/15714,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/15717,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15718,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2016/15729,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,95 %,
HS/2016/15730,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15737,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,92 %,
HS/2016/15745,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,82 %,
HS/2016/15749,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,74 %,
HS/2016/15754,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15755,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,87 %,
HS/2016/15767,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15771,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,82 %,
HS/2016/15773,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15783,0,1,1,M,M,1,M,M,0,1,1,M,M,M,M,M,1,1,1,M,M,0,M,0,82 %,
HS/2016/15804,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2016/15807,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,97 %,
HS/2016/15808,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
