Current Attendence Sheet Data of SLS22633  |  All Type


-,2019-07-31-11:00:00-Lect-1H-ng,2019-08-07-08:00:00-Lect-1H-ng,2019-08-07-11:00:00-Lect-1H-ng,2019-08-07-13:00:00-Lect-1H-ng,2019-08-21-11:00:00-Lect-1H-ng,2019-12-18-08:00:00-Lect-1H-ng,2019-12-18-13:00:00-Lect-1H-ng,2019-12-19-08:00:00-Lect-1H-ng,2020-01-01-08:00:00-Lect-1H-ng,2020-01-01-11:00:00-Lect-1H-ng,2020-01-06-15:00:00-Lect-1H-ng,2020-01-08-08:00:00-Lect-1H-ng,2020-01-08-11:00:00-Lect-1H-ng,2020-01-09-08:00:00-Lect-1H-ng,2020-01-13-15:00:00-Lect-1H-ng,2020-01-16-08:00:00-Lect-1H-ng,2020-01-20-15:00:00-Lect-1H-ng,2020-01-22-08:00:00-Lect-1H-ng,2020-01-22-11:00:00-Lect-1H-ng,2020-01-23-08:00:00-Lect-1H-ng,2020-01-27-15:00:00-Lect-1H-ng,2020-01-29-11:00:00-Lect-1H-ng,2020-01-29-11:00:00-Lect-1H-ng,2020-02-03-11:00:00-Lect-1H-ng,2020-02-05-08:00:00-Lect-1H-ng,2020-02-05-11:00:00-Lect-1H-ng,2020-02-06-08:00:00-Lect-1H-ng,2020-02-10-11:00:00-Lect-1H-ng,2020-02-11-11:00:00-Lect-1H-ng,2020-02-12-08:00:00-Lect-1H-ng,2020-02-12-11:00:00-Lect-1H-ng,2020-02-13-08:00:00-Lect-1H-ng,2020-02-19-08:00:00-Lect-1H-ng,%
HS/2017/16149,M,M,M,M,M,1,M,1,M,M,1,1,M,1,M,M,M,M,M,M,1,1,M,1,M,M,M,0,1,1,M,0,1,94 %,
HS/2017/16158,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16166,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16168,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16169,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16196,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,82 %,
HS/2017/16199,1,0,0,0,1,E,1,1,E,0,1,1,1,1,1,E,E,1,1,1,E,1,1,E,E,1,1,1,1,1,1,1,1,88 %,
HS/2017/16200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16201,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16203,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,97 %,
HS/2017/16207,E,E,E,E,E,1,1,1,1,1,E,E,E,E,E,1,1,1,1,1,1,1,1,1,E,E,E,1,1,1,1,1,0,97 %,
HS/2017/16210,E,E,E,E,E,1,1,1,E,E,1,1,1,1,E,E,E,1,1,E,E,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16246,E,E,E,E,E,1,1,1,E,E,E,1,1,E,E,E,1,E,1,E,1,1,E,1,E,1,E,1,1,0,1,0,1,94 %,
HS/2017/16258,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,85 %,
HS/2017/16264,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,97 %,
HS/2017/16265,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16274,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16278,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16303,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16310,E,E,E,E,E,1,1,1,E,E,1,1,1,E,E,1,1,1,1,E,E,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16316,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16320,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16326,0,E,1,1,0,E,1,1,E,E,0,1,1,E,0,E,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,79 %,
HS/2017/16328,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16336,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16348,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16356,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,94 %,
HS/2017/16372,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16374,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,88 %,
HS/2017/16386,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16421,E,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,E,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,82 %,
HS/2017/16429,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16434,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16439,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16444,E,1,1,E,E,1,1,1,E,E,E,E,0,1,E,E,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16462,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,E,E,1,1,1,1,1,1,1,E,E,1,1,1,1,1,1,0,97 %,
HS/2017/16466,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16468,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,88 %,
HS/2017/16470,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16472,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16485,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,85 %,
HS/2017/16488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16490,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,E,E,1,1,1,1,1,1,1,82 %,
HS/2017/16492,0,E,1,E,E,1,1,1,1,1,E,1,1,E,E,E,1,1,0,E,1,1,1,1,E,E,E,1,1,1,1,1,0,91 %,
HS/2017/16516,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,85 %,
HS/2017/16526,M,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,M,0,0,0,1,1,85 %,
HS/2017/16531,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,97 %,
HS/2017/16575,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,88 %,
Total,37,51,50,44,45,51,52,52,48,50,50,52,51,51,32,36,50,51,50,52,48,52,48,43,46,48,47,48,51,50,51,50,44,
