Current Attendence Sheet Data of GEO32663  |  All Type


-,2019-08-01-13:00:00-Lect-2H-ng,2019-08-08-13:00:00-Lect-2H-ng,2019-08-13-15:00:00-Lect-1H-ng,2019-08-15-08:00:00-Lect-2H-ng,2019-08-22-08:00:00-Lect-2H-ng,2019-08-22-15:00:00-Lect-2H-ng,2019-12-17-09:00:00-Lect-2H-ng,2019-12-17-09:00:00-Lect-1H-ng,2019-12-19-09:00:00-Lect-2H-ng,2019-12-23-09:00:00-Lect-1H-ng,2019-12-23-09:00:00-Lect-2H-ng,2019-12-24-09:00:00-Lect-2H-ng,2019-12-30-09:00:00-Lect-3H-ng,2019-12-31-09:00:00-Lect-1H-ng,2020-01-06-09:00:00-Lect-2H-ng,2020-01-06-09:00:00-Lect-1H-ng,2020-01-13-09:00:00-Lect-3H-ng,2020-01-17-09:00:00-Lect-2H-ng,2020-01-20-09:00:00-Lect-3H-ng,2020-01-27-09:00:00-Lect-3H-ng,2020-01-28-09:00:00-Lect-1H-ng,2020-02-03-14:00:00-Lect-1H-ng,2020-02-06-09:00:00-Lect-2H-ng,2020-02-13-09:00:00-Lect-1H-ng,2020-02-14-09:00:00-Lect-1H-ng,2020-02-17-15:00:00-Lect-2H-ng,2020-02-18-09:00:00-Lect-1H-ng,%
HS/2016/15989,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,94 %,
HS/2016/16001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16003,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2016/16006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16023,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,98 %,
HS/2016/16048,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/16059,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/16061,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96 %,
HS/2016/16064,1,0,1,1,1,1,M,0,1,M,0,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/16086,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,90 %,
HS/2016/16096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,98 %,
HS/2016/16098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/16121,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
Total,39,45,46,49,51,44,50,44,51,51,50,48,48,50,51,51,51,45,51,48,46,48,50,50,51,50,47,
