Current Attendence Sheet Data of ECN22613  |  All Type


-,2019-08-02-13:00:00-Lect-1H-ng,2019-08-05-08:00:00-Lect-2H-ng,2019-08-09-13:00:00-Lect-1H-ng,2019-08-16-13:00:00-Lect-1H-ng,2019-08-19-08:00:00-Lect-2H-ng,2019-12-09-08:00:00-Lect-2H-ng,2019-12-17-08:00:00-Lect-2H-ng,2019-12-24-08:00:00-Lect-2H-ng,2019-12-31-08:00:00-Lect-2H-ng,2020-01-07-08:00:00-Lect-2H-ng,2020-01-14-08:00:00-Lect-2H-ng,2020-01-17-11:00:00-Lect-1H-ng,2020-01-22-08:00:00-Lect-2H-ng,2020-01-24-13:00:00-Lect-1H-ng,2020-01-27-08:00:00-Lect-2H-ng,2020-01-31-13:00:00-Lect-1H-ng,2020-02-03-08:00:00-Lect-2H-ng,2020-02-07-11:00:00-Lect-1H-ng,2020-02-10-08:00:00-Lect-2H-ng,%
HS/2017/16150,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,94 %,
HS/2017/16191,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,87 %,
HS/2017/16209,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16215,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,87 %,
HS/2017/16218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,97 %,
HS/2017/16238,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,94 %,
HS/2017/16242,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,61 %,
HS/2017/16268,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,87 %,
HS/2017/16269,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16301,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,90 %,
HS/2017/16344,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,87 %,
HS/2017/16361,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,97 %,
HS/2017/16380,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,84 %,
HS/2017/16388,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,94 %,
HS/2017/16420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,94 %,
HS/2017/16425,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16430,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,90 %,
HS/2017/16435,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,94 %,
HS/2017/16441,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,90 %,
HS/2017/16442,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16461,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,90 %,
HS/2017/16467,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16500,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,84 %,
HS/2017/16567,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,94 %,
HS/2017/16573,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
Total,18,20,22,24,26,26,27,26,26,25,27,26,22,26,25,16,26,26,26,
